データ項目,質問内容,回答番号,回答内容
enquete_chance,当店を知ったきっかけはなんですか,1,知人の紹介
enquete_chance,当店を知ったきっかけはなんですか,2,ネットで検索
enquete_chance,当店を知ったきっかけはなんですか,3,通りすがり
enquete_chance,当店を知ったきっかけはなんですか,4,リピーター
enquete_chance,当店を知ったきっかけはなんですか,5,その他
enquete_magazine,当店の案内を希望しますか,1,はい
enquete_magazine,当店の案内を希望しますか,2,いいえ
enquete_purpose,利用目的はなんですか,1,旅行・レジャー
enquete_purpose,利用目的はなんですか,2,仕事
enquete_purpose,利用目的はなんですか,3,バイクの練習
enquete_purpose,利用目的はなんですか,4,バイクの修理中
enquete_purpose,利用目的はなんですか,5,その他
enquete_touring,ツーリングに興味がありますか,1,ある
enquete_touring,ツーリングに興味がありますか,2,ない
enquete_want,バイクは欲しいですか,1,所有している
enquete_want,バイクは欲しいですか,2,購入している
enquete_want,バイクは欲しいですか,3,欲しい
enquete_want,バイクは欲しいですか,4,欲しくない
